Comment,Description,Designator,Footprint,LibRef,Quantity,Variant,Revision,Trenz-Stock,Value,AN,Case,Center-X(Mil),Center-X(mm),Center-Y(Mil),Center-Y(mm),Layer,Rotation,Pad-X(Mil),Pad-X(mm),Pad-Y(Mil),Pad-Y(mm),Ref-X(Mil),Ref-X(mm),Ref-Y(Mil),Ref-Y(mm)
"LED Red SML-P11UTT86","LED Rot SML-P11UTT86 SMD","D1","LEDC1006X25N_RED","24212","1","","01","","","24212","1005 (0402)","2253.003","57.226","1522.003","38.659","Top","270","2253.003","57.226","1541.688","39.159","2253.003","57.226","1522.004","38.659"
"LED Green SML-P11MTT86","LED Grün SML-P11MTT86 SMD","D3","LEDC1006X25N_GREEN","24211","1","","01","","","24211","1005 (0402)","2182.844","55.444","1521.706","38.651","Top","90","2182.844","55.444","1502.021","38.151","2182.844","55.444","1521.706","38.651"
"Atmel AVR ATtiny10","ATtiny10","IC1","SOT23-6","ATtiny10","1","","01","","ATtiny10","","","1988.289","50.503","1470.636","37.354","Top","270","2025.69","51.453","1517.88","38.554","1988.289","50.503","1470.636","37.354"
"WANNE2,54-50 GERADE","Stiftleiste Wanne 50polig","J1","WANNE2,54-50 GERADE","20131","1","","01","Yes","","20131","","1476.388","37.5","196.85","5","Top","180","2676.388","67.98","246.85","6.27","1476.388","37.5","196.85","5"
"MMC SD Socket","MCC SD Socket","J2","104C-TAA0-R","24818","1","","01","Yes","","24818","MMC SD","2061.648","52.366","1004.636","25.518","Bottom","0","2332.514","59.246","545.975","13.868","2061.845","52.371","1069.597","27.168"
"U.FL-R-SMT-1","Hirose Ultra Small Coaxial Connector","J3","U.FL-R-SMT-1","25605","1","","01","","","25605","","535.039","13.59","1344.987","34.163","Top","0","535.039","13.59","1375.006","34.925","535.039","13.59","1314.961","33.4"
"SCHD3A0100","microSD Card (Header Type) SCHD Series","J4","SCHD3A0100","24993","1","","01","Yes","","24993","microSD","2303.269","58.503","1034.692","26.281","Top","0","2429.254","61.703","973.669","24.731","2303.269","58.503","1042.566","26.481"
"STIFTLEISTE2.54 OG 2R-8","Stiftleiste gerade 2-reihig, 8pol.","J5","STIFTLEISTE2_54 OG 2R-8","23904","1","","01","Yes","","23904","","126.77","3.22","997.244","25.33","Top","90","176.77","4.49","847.244","21.52","126.77","3.22","997.244","25.33"
"Stiftleiste versetzt 1-reihig, 6pol.","Stiftleiste versetzt 1-reihig, 6pol.","J7","STIFTLEISTE2_54 OG 1R-6V","22911","1","","01","Yes","","22911","","1259.842","32","1210.63","30.75","Top","0","1009.842","25.65","1202.756","30.55","1259.842","32","1210.63","30.75"
"PMod 2x6 Socket 90°","PMod 2x6 Socket 90°","J8","PMod2x6","25215","1","","01","Yes","","25215","","2825.984","71.78","895.669","22.75","Top","270","2775.984","70.51","1145.669","29.1","2825.984","71.78","895.669","22.75"
"BKP0603HS121-T","Ferritdurchführung SMD 0201","L1","INDC0603X33N","25393","1","","01","Yes","","25393","0603 (0201)","1285.764","32.658","985.114","25.022","Bottom","0","1274.543","32.373","985.114","25.022","1285.764","32.658","985.114","25.022"
"IND-Ferrite","Ferrite Inductor","L2","RESC1005X40R","IND-Ferrite","1","","01","","","","","391.332","9.94","1443.694","36.67","Top","180","411.017","10.44","1443.694","36.67","391.338","9.94","1443.701","36.67"
